附件6,,,,,,,,
抽样监测单位名单(第二批）,,,,,,,,
序号,受检单位,样品名称,规格型号,样品等级,综合判定,抽样地点,报告编号,备注
20,阳光超市复兴商贸城店,猪肝,,,合格,复兴区复兴商贸城,邯检(S)字(2015)第(L0296)号,
21,阳光超市复兴商贸城店（冠宇熟食）,肉肠,,,合格,复兴区复兴商贸城,邯检(S)字(2015)第(L0297)号,
22,美食林滏东店,花生芝麻调和油,5升/桶,,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0298)号,
23,清真酱牛肉,牛肉,,,合格,,邯检(S)字(2015)第(L0299)号,
24,老崔烧鸡,肉肚,,,不合格,望岭路与陵西大街交口东行10米路南（天天鲜超市北门口）,邯检(S)字(2015)第(L0300)号,
25,成都卤肉,猪头肉,,,合格,望岭路与陵西大街交口东20米路南（春晖烟酒茶行）,邯检(S)字(2015)第(L0301)号,
26,老城酥鱼,猪肘,,,合格,望岭路与陵西大街交口东行20米路北,邯检(S)字(2015)第(L0302)号,
27,美食林滏东店,大豆食用调和油,1.6升/桶,,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0303)号,
28,美食林滏东店,玉米胚芽油,900ml/桶,,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0304)号,
29,美食林滏东店,话梅糖,计量称重,,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0305)号,
30,美食林滏东店,菠萝味硬糖,计量称重,,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0306)号,
31,美食林滏东店,优果奶酥,计量称重,,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0307)号,
32,美食林滏东店,黑糖话梅,计量销售,,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0308)号,
33,美食林滏东店,桔子味硬糖,计量销售,,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0309)号,
34,美食林滏东店,绵竹大曲,475ml/瓶 46%vol,优级,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0310)号,
35,美食林滏东店,山庄老酒,500ml/瓶 42%vol,优级,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0311)号,
36,美食林滏东店,西凤银醇酒,500ml/瓶 45%vol,一级,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0312)号,
37,美食林滏东店,枝江特曲,480ml/瓶 45%vol,,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0313)号,
38,美食林滏东店,古井大曲,500ml瓶 45%vol,,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0314)号,
39,美食林滏东店,中粮白酒,500ml/瓶 42%vol,一级,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0315)号,
40,阳光超市前进店,小榨香菜籽油,4.5升/桶,合格,合格,阳光超市前进大街,邯检(S)字(2015)第(L0316)号,
41,阳光超市前进店,福临门调和油,5升/桶,合格,合格,阳光超市前进大街,邯检(S)字(2015)第(L0317)号,
42,阳光超市前进店,非转基因压榨玉米油,5升/桶,一级,合格,阳光超市前进大街,邯检(S)字(2015)第(L0318)号,
43,阳光超市前进店,名福一级大豆油,5升/桶,一级,合格,阳光超市前进大街,邯检(S)字(2015)第(L0319)号,
44,阳光超市前进店,金龙鱼精炼一级大豆油,2.5升/桶,一级,合格,阳光超市前进大街,邯检(S)字(2015)第(L0320)号,
45,阳光超市前进店,刘伶醉,500ml/瓶,优级,合格,阳光超市前进大街,邯检(S)字(2015)第(L0321)号,
46,阳光超市前进店,山莊老酒,500ml/瓶 42%vol,优级,合格,阳光超市前进大街,邯检(S)字(2015)第(L0322)号,
47,阳光超市前进店,丛台酒（浓香型）白酒,500ml/瓶 53%vol,一级,合格,阳光超市前进大街,邯检(S)字(2015)第(L0323)号,
48,阳光超市前进店,牛栏山（清香型白酒）,500ml/瓶 52%vol,一级,合格,阳光超市前进大街,邯检(S)字(2015)第(L0324)号,
49,阳光超市前进店,老白干香型白酒（白小乐）,300ml/瓶 38.6%vol,优级,合格,阳光超市前进大街,邯检(S)字(2015)第(L0325)号,
50,阳光超市前进店,食用调和油,5升/桶,,合格,阳光超市前进大街,邯检(S)字(2015)第(L0326)号,
51,龙旺副食城四季糖果,花生牛轧糖,计量称重,,合格,邯山街与贸易街交叉口龙旺副食城,邯检(S)字(2015)第(L0327)号,
52,四季糖果,好一家巧克力夹心奶糖,计量称重,,合格,邯山街与贸易街交叉口龙旺副食城,邯检(S)字(2015)第(L0328)号,
53,四季糖果,小天使话梅糖,计量称重,,合格,邯山街与贸易街交叉口龙旺副食城,邯检(S)字(2015)第(L0329)号,
54,天意瓜子干果批发,美国杏仁奶油糖,计量称重,,合格,邯山街与贸易街交叉口龙旺副食城,邯检(S)字(2015)第(L0330)号,
55,德为先糖果干果批发,橡皮糖,计量称重,,合格,邯山街与贸易街交叉口龙旺副食城,邯检(S)字(2015)第(L0331)号,
56,德为先糖果干果批发,特制椰子糖,计量称重,,合格,邯山街与贸易街交叉口龙旺副食城,邯检(S)字(2015)第(L0332)号,
57,德为先糖果干果批发,花生糖,计量称重,,合格,邯山街与贸易街交叉口龙旺副食城,邯检(S)字(2015)第(L0333)号,
58,天意瓜子干果批发,冰爽鲜果香果味硬糖,计量称重,,不合格,邯山街与贸易街交叉口龙旺副食城,邯检(S)字(2015)第(L0334)号,
59,天意瓜子干果批发,北京酥,计量称重,,合格,邯山街与贸易街交叉口龙旺副食城,邯检(S)字(2015)第(L0335)号,
60,天意瓜子干果批发,维生素C果味夹心硬糖,计量销售,,合格,邯山街与贸易街交叉口龙旺副食城,邯检(S)字(2015)第(L0336)号,
61,滏园粮站,绿兴一级大豆油,5L/桶,一级,合格,滏漳路农贸市场,邯检(S)字(2015)第(L0337)号,
62,万宝全杂粮店,满疆红精炼棉籽油,5L/桶,三级,合格,滏漳路农贸市场,邯检(S)字(2015)第(L0338)号,
63,滏新名烟名酒,山庄老酒,500ml/瓶  42%vol,优级,合格,滏漳路与滏东路交口西南角,邯检(S)字(2015)第(L0339)号,
64,滏新名烟名酒,丛台酒,450ml/瓶  46%vol,一级,合格,滏漳路与滏东路交口西南角,邯检(S)字(2015)第(L0340)号,
65,邯郸县三和名酒行,板城烧锅酒,500ml/瓶  41%vol,优级,合格,滏漳路与滏东路交口西南,邯检(S)字(2015)第(L0341)号,
66,,九龙醉酒,500ml/瓶  41%vol,优级,合格,滏漳路与滏东路交口西南,邯检(S)字(2015)第(L0342)号,
67,美食林集团（千鹤店）,金龙鱼食用调和油,2.5L/桶,,合格,建设大街与联防路路口,邯检(S)字(2015)第(L0343)号,
